AirlineID,RouteID,ServiceStartDate,ServiceEndDate
A1,R1,2016-02-29,
A1,R2,2018-07-01,
A1,R3,2017-02-05,
A1,R4,2015-10-31,
A1,R5,2016-08-03,
A2,R2,2018-01-02,2018-05-01
A2,R3,2016-02-11,
A2,R4,2016-08-05,
A2,R1,2015-09-01,
A2,R5,2016-02-07,
A3,R3,2017-07-12,
A3,R1,2016-05-21,
A3,R2,2017-10-30,
A3,R5,2017-03-09,
A4,R2,2018-09-10,
A4,R3,2016-10-22,
A4,R1,2016-03-05,
A4,R4,2016-05-12,
A4,R5,2015-02-23,
A5,R3,2018-08-29,
A6,R3,2016-04-19,2017-10-15
A6,R1,2015-01-15,
A6,R2,2018-04-13,2018-05-25
A7,R1,2018-12-31,2019-01-01
A7,R4,2016-05-26,
A7,R5,2017-08-03,
A7,R2,2015-01-03,
A7,R3,2016-03-08,2018-05-29
A8,R1,2018-06-16,
A8,R2,2016-08-18,
A8,R3,2018-10-29,2018-11-01
A9,R1,2016-06-07,
A9,R4,2016-06-14,
A10,R1,2015-08-14,
A10,R3,2016-12-08,2018-11-19
A11,R3,2016-08-28,
A12,R5,2015-12-22,
